nazwa;szerokość;wysokość
Przy Skarpie 02;53.024180481478716;18.66653585181815
Rydygiera 02;53.0231855133872;18.659680759545367
Plac Daszyńskiego 02;53.02155567943058;18.6491505561822
Targowa 04;53.01803292378892;18.638619254792893
Gołębia 02;53.01533090376025;18.63094941142339
Dworzec Miasto 02;53.01104158709973;18.619462252112253
Plac Św. Katarzyny 02;53.01284808372381;18.612503711897972
Wały gen. Sikorskiego 02;53.012963980370515;18.604117101581352
Osiedle Młodych 05;53.01330432165404;18.598025007944823
Osiedle Młodych 02;53.01388245050217;18.597165609405796
Kraszewskiego 04;53.01421289857917;18.590903344730183
Sztuki Piękne 02;53.01386957347452;18.58108554197189
Fałata 03;53.0158385252078;18.58039839927197
Od Nowa 03;53.018201438051484;18.57848461769915
Akademiki 03;53.01755167434413;18.574166750473477
Aula UMK 03;53.01800608045564;18.569593456379057
Szosa Okrężna 04;53.01965641757615;18.565741593904484
26UNIWERSYTET 00;53.022350861659305;18.56600046308691
