nazwa;szerokość;wysokość
Uniwersytet 02;53.0222360096332;18.5658994317055
Szosa Okrężna 02;53.019045;18.566613
Aula UMK 02;53.017413;18.57064
Reja 02;53.0145734720287;18.5714998841286
Sztuki Piękne 04;53.0139731905103;18.5830011963844
Kraszewskiego 01;53.013913;18.592561
Dworzec Autobusowy 06;53.0154383791029;18.6037319898605
Sąd Rejonowy 02;53.019834;18.613418
Kościuszki 02;53.02466;18.611652
Sczanieckiego 02;53.028148;18.611261
Kozacka 02;53.032035;18.610962
Wielki Rów 02;53.034484;18.612632
Polna 01;53.037742;18.613613
Batorego 01;53.036743;18.622699
Dębowa Góra 01;53.0355958063998;18.6312729120255
Kanałowa 03;53.037643;18.637366
Fort IV 01;53.039498;18.632841
Mazowiecka 01;53.042666;18.626401
Mazowiecka - Pętla 00;53.0451348330896;18.6260104179382
Łączna 02;52.9868679153958;18.630027025938
Lilii Wodnych 01;52.9868485391762;18.6209464073181
Okólna 03;52.9865756564936;18.6165019869804
Brązowa 02;52.992458105986;18.6160828778748
Kniaziewicza 02;52.995013;18.618732
Plebiscytowa 02;52.9959350323446;18.6235803365707
Strzałowa 02;53.000327;18.62162
Dworzec Główny 04;52.999856;18.615782
Plac Armii Krajowej 04;52.998495;18.605744
Plac Rapackiego 01;53.0103261394539;18.5992741584778
Aleja Solidarności 02;53.013623022435;18.6030131578445
Cmentarz Centralny - II Brama 01;53.044221;18.62275
Cmentarz Centralny 01;53.042187;18.618051
Kolankowskiego 04;53.0286325165866;18.6918653547764
Witosa 02;53.025673;18.687454
Ligi Polskiej 04;53.0227845493023;18.6880069971085
Wyszyńskiego 04;53.023404;18.682113
Ślaskiego 02;53.023734;18.675865
Przybyłów 02;53.028931;18.672725
Bukowa 04;53.037166;18.673292
Elana B 04;53.037212;18.668504
Elana A 03;53.037148965067;18.6610400676727
Przychodnia 02;53.0361715944875;18.6563086509705
Tofama 05;53.0342522709612;18.652800321579
Chrobrego 01;53.031772;18.628806
Urząd Celny 01;53.030879;18.623903
Sczanieckiego 03;53.027554;18.610015
Popiela 01;53.026257;18.600257
Wybickiego 01;53.024293;18.591914
Bema 07;53.0208831841968;18.5955069959164
Arena Toruń 01;53.018825;18.591952
Fałata 02;53.0152778239694;18.5811839997768
Od Nowa 01;53.0181346479156;18.5786325484514
Akademiki 01;53.0174654371297;18.5741318017244
Aula UMK 01;53.017968052108;18.5694278776646
Szosa Okrężna 01;53.0195936447309;18.5656104236841
Uniwersytet 01;53.022917;18.565944
Czerniewice 02;52.9834543372707;18.6848795413971
Zdrojowa 02;52.9779119463074;18.683232665062
Matysiaków 02;52.975972;18.676083
Solankowa 02;52.98253;18.67015
Włocławska 01;52.989642;18.663921
Ceramika 02;52.991971;18.647164
Zimowa 02;52.992123;18.641304
Stawki Południowe 02;52.992236;18.636496
Stawki 02;52.9945531303548;18.6280488967896
Plebiscytowa 01;52.9962256135843;18.6238431930542
Kniaziewicza 01;52.99515045323;18.6182856559753
Kraszewskiego 02;53.014239;18.59266
Od Nowa 02;53.0190317532642;18.5821589827538
Św. Józefa 02;53.022427;18.584022
Szpital Bielany 02;53.027555;18.585507
Boboli 02;53.028269;18.593491
Lecha 02;53.0284357151316;18.5996013879776
Koniuchy 04;53.033716780584;18.5997542738914
Plac Św. Katarzyny 03;53.0133761280288;18.6123767495155
Wały Gen. Sikorskiego 08;53.0129985220872;18.6037386953831
Plac Rapackiego 02;53.0101679860201;18.5992915928364
Plac Armii Krajowej 05;52.9986535048495;18.6037427186966
Wiślana 01;52.996232070923;18.5891622304916
Kluczyki 01;52.9934666272945;18.5775026679039
Zagrodowa 01;52.9915760790963;18.5662454366684
Mała Nieszawka - Szkoła 01;52.9902392452808;18.5469898581505
Mała Nieszawka - Stadion 03;52.9907139228951;18.5322725772858
Mała Nieszawka - Kościół 05;52.9930936905219;18.5224503278732
Wielka Nieszawka - Urząd Gminy 07;52.996332159549;18.5095810890198
Wielka Nieszawka - Aqua Park 09;52.9985921635331;18.5052895545959
Wielka Nieszawka - RSP 11;52.9981595433535;18.4957730770111
Wielka Nieszawka - Wiślana 13;53.0006841760742;18.4804254770279
Cierpice - Ogrodowa II 40;52.9944304359846;18.4803074598312
Cierpice - Ogrodowa 38;52.9877721293105;18.4829360246658
Cierpice - Szkoła 36;52.9864384071556;18.4866079688072
Cierpiszewo - Leśna 34;52.9824898799171;18.4985297173262
Cierpiszewo 32;52.9797142703267;18.4997481107712
Cierpice - Pętla 30;52.9839080971166;18.4860420227051
Cierpice - Andrewex 28;52.9860040504942;18.4721508622169
Cierpice - Nadleśnictwo 26;52.9865256009032;18.4649813175201
Cierpice II 24;52.9879448966012;18.4526431560516
Jarki 22;52.9894174271448;18.4452348947525
Kąkol - Wiadukt 20;52.9939977741077;18.4473860263824
Kąkol 18;52.9929992449841;18.4568193554878
Przy Kaszowniku 01;53.0170326026853;18.6146512627602
Garbaty Mostek 02;53.019104;18.623021
Olbrachta 01;53.021035;18.627133
Dworzec Wschodni 04;53.0251536765482;18.634067773819
Wschodnia 04;53.02865;18.643673
Donimirskiego 01;53.0292616299683;18.6521458625793
Rubinkowo Centrum 01;53.02842;18.657672
Manhattan 01;53.0277017345724;18.6670964956284
Przybyłów 01;53.028643;18.672823
Rubinkowo P&R 01;53.0265983205155;18.6803761124611
Kolankowskiego 01;53.029373;18.693768
Kusocińskiego 01;53.031124;18.70206
Słupska 01;53.0321231734953;18.7070882320404
Odległa 01;53.035566;18.722775
Lubicz Dolny - Lipowa 01;53.031859;18.73882
Lubicz Dolny - Kolejowa 03;53.031455;18.744744
Lubicz Dolny - Urząd Gminy 04;53.030467;18.752563
Lubicz Dolny - DK10 05;53.0308263080717;18.7595307826996
Lubicz Górny - Bankowa 07;53.0255644002378;18.77044117097
Lubicz Górny - Osiedle 09;53.0239687258649;18.7653136253357
Mazowiecka - Pętla 01;53.0453984769705;18.625869601965
Mazowiecka 02;53.0426805294979;18.6261177062988
Fort IV 02;53.0395132715787;18.6325281858444
Kociewska 02;53.0423580087828;18.6366319656372
Kanałowa 02;53.036777;18.636499
Dębowa Góra 03;53.0345917877707;18.6296086013317
Towarowa 02;53.0328893380999;18.626874089241
Zaułek Dworcowy 02;53.02887;18.62372
Młyn Wiedzy 01;53.0251520632951;18.6278101801872
Ślaskiego 04;53.0233895482014;18.6760041117668
Wyszyńskiego 03;53.0228394028855;18.6834874749184
Ligi Polskiej 03;53.022751;18.690547
Kosynierów Kościuszkowskich 03;53.024119;18.69593
Olimpijska P&R 01;53.0263333517529;18.7021241337061
Heweliusza 01;53.0546443427309;18.5978499054909
Strobanda 03;53.0538688916189;18.6031472682953
Grasera 03;53.0510652211683;18.6039733886719
Hubego 03;53.0470899519479;18.6036756634712
Freytaga 03;53.0440383152456;18.6014440655708
Wiśniowieckiego 05;53.0415460521988;18.5995195806026
Elektryczna 05;53.0392520107917;18.5996925830841
Koniuchy 07;53.0336716184409;18.5999621450901
Długa 01;53.0317263755288;18.5959079861641
Żwirki i Wigury 05;53.0285514570797;18.5908473283052
Wybickiego 05;53.0253545260927;18.5915748775005
Bema 03;53.0216180874756;18.5958757996559
Targowisko 03;53.0181725655156;18.5999165475369
Aleja Solidarności 01;53.0134196977326;18.6030252277851
Ogród Zoobotaniczny 02;53.009469199115;18.5910773277283
Konopnickiej 02;53.0099581897544;18.5850155353546
Mickiewicza 01;53.011245999979;18.5802036523819
Zajezdnia Tramwajowa 03;53.0131631199552;18.5802492499352
Reja 03;53.0137069339377;18.5706925392151
Osiedle Zieleniec 01;53.0136698192547;18.5661140084267
Plac Skalskiego 01;53.0138255393411;18.5612605512142
Szosa Bydgoska 01;53.0150188367916;18.55608522892
Motoarena 00;53.0152213471473;18.5492630302906
Barbarka 01;53.0542;18.541617
Przysiecka 02;53.058713;18.546752
Osiedle Leśne - Polana 02;53.057907;18.560415
Wrzosy I 02;53.049764;18.573644
Zagonowa 02;53.046845;18.576643
Lniana 01;53.0476534934545;18.585986495018
Chabrowa 01;53.044705904431;18.5887344181538
Lisia 02;53.0418258443275;18.5803323984146
Św. Antoniego 02;53.039353;18.582222
Bartkiewiczówny 02;53.032777;18.587348
Żwirki i Wigury 03;53.0288486745269;18.5903638601303
Lelewela 01;53.024137;18.601512
Dekerta 01;53.020893;18.601907
Legionów 01;53.017537;18.603698
Dworzec Autobusowy 09;53.0153633458736;18.6057657748461
Dworzec Wschodni 01;53.0239219402142;18.6345505714417
Plac Daszyńskiego II 01;53.02207;18.645982
Plac Daszyńskiego 03;53.0213179967599;18.649930357933
Rydygiera 01;53.022866;18.660015
Jamontta 01;53.024716;18.670234
Ligi Polskiej 05;53.0236702648089;18.6890396475792
Witosa 01;53.025815;18.687974
Kolankowskiego 01;53.0285752506821;18.6920115351677
Dworzec Główny 03;53.001094;18.614714
Targowisko 02;53.0182798640754;18.5999675095081
Dębowa Góra 02;53.035887733534;18.6289930343628
Batorego 02;53.037237;18.62125
Polna 03;53.037419;18.612498
Wielki Rów 01;53.0333974186996;18.6114406585693
Kozacka 01;53.030587;18.610488
Sczanieckiego 01;53.026755;18.610926
Kościuszki 01;53.024514;18.611238
Sąd Rejonowy 01;53.0194625508221;18.6131304502487
Plac Armii Krajowej 03;52.998456;18.605284
Park Tysiąclecia 01;52.998457;18.61037
Dworzec Główny 05;53.000184;18.617336
Strzałowa 01;52.998611;18.622056
Brązowa 01;52.992548851444;18.6159564965188
Okólna 04;52.9865498213574;18.6165744066238
Lilii Wodnych 02;52.9868259335757;18.6220219731331
Łączna 00;52.9869115118581;18.6296769976616
Szosa Okrężna 03;53.0195851740596;18.5657800734043
Aula UMK 04;53.0179636149227;18.5696055740118
Akademiki 04;53.0175215076301;18.5742484778166
Od Nowa 04;53.0182060459219;18.5786506533623
Fałata 04;53.016481;18.580257
Sztuki Piękne 01;53.013829;18.581098
Kraszewskiego 03;53.0141071250136;18.5919517278671
Osiedle Młodych 03;53.0138328008859;18.5972195863724
Wały Gen. Sikorskiego 01;53.012537;18.602588
Plac Św. Katarzyny 01;53.0130993786984;18.6115814745426
Dworzec Miasto 01;53.0110321745007;18.6195610463619
Gołębia 01;53.015484;18.631452
Targowa 03;53.018349;18.639361
Plac Daszyńskiego 01;53.0215358047452;18.649195432663
Rydygiera 03;53.023143;18.659682
Przy Skarpie 01;53.024181;18.666531
Odrodzenia 03;53.015121;18.600966
Sztuki Piękne 03;53.013942;18.578943
Reja 01;53.0154726684384;18.5715615749359
Rubinkowo P&R 09;53.0273807149732;18.679183870554
Manhattan 02;53.02767;18.6648
Rubinkowo Centrum 02;53.0288841630405;18.6597928404808
Mocarskiego 01;53.027063;18.655916
Rydygiera 04;53.024315;18.657367
Leszczynowa 01;53.022646;18.654934
Plac Daszyńskiego 02;53.022624;18.64472
Galeria Copernicus 02;53.023266;18.640103
Dworzec Wschodni 02;53.024047;18.63536
Garbaty Mostek 01;53.019305;18.622073
Przy Kaszowniku 02;53.0172617271445;18.6150696873665
Lotnisko 01;53.027269;18.565709
Bluszczowa 01;53.0310537462458;18.5661515593529
Orzechowa 01;53.034619;18.576435
Przy Lesie 01;53.034994;18.583471
Dworzec Miasto 03;53.0108659547178;18.6192713677883
Gołębia 03;53.015382;18.631453
Targowa 01;53.0170681009206;18.6369431018829
Szubińska 01;52.976213;18.556124
Bliska 02;52.976292;18.560699
Gniewkowska 02;52.976457;18.566426
Stepowa 02;52.978885;18.571407
Kręta 02;52.981613;18.574313
Polmozbyt 02;52.984922;18.577807
Kluczyki Cmentarz 02;52.987614;18.580662
Kluczyki 02;52.989283;18.582635
Poznańska - Komisariat 02;52.992019;18.586325
Parkowa 02;52.993343;18.590953
Drzymały 01;52.9911643774393;18.594985306263
Letnia 02;52.9909238126938;18.6045581102371
